OPTION UNITS,MEASURE Seat_Back_Angle,MEASURE Outseam,MEASURE Inseam,MEASURE CROTCH_Height,MEASURE TrouserWAIST_Circ,MEASURE HIP_Circ,MEASURE Knee_Height,MEASURE Calf_Height,MEASURE Waist_Height_Back_EZ,MEASURE TrouserWaist_Height_Back,MEASURE CrotchLength_Back,MEASURE CrotchLength_Front,MEASURE Ankle_Circ,MEASURE Head_Top_Height,MEASURE Hip_Height,MEASURE NeckBase_Circ,MEASURE Bust_to_Bust,MEASURE Underbust_Circ,MEASURE BUST_Circ,MEASURE Across_Back,MEASURE Shoulder_to_Shoulder,MEASURE Neck_Circ,MEASURE Knee_Circ,MEASURE Calf_Circ,MEASURE Bicep_Circ,MEASURE Elbow_Circ,MEASURE Wrist_Circ,MEASURE Shoulder_to_Wrist,MEASURE Shoulder_Length,MEASURE SideNeck_to_Bust,MEASURE NeckSide_to_Wrist,MEASURE NECK_Height,MEASURE Thigh_Circ,MEASURE Across_Front,MEASURE Shoulder_to_floor_Right,MEASURE Shoulder_to_floor_Left,MEASURE TopHip_Circ,MEASURE TrouserWaist_Height_Front,MEASURE Bust_Height,MEASURE Torso_Height,MEASURE Istumakorkeus,MEASURE NaturalWAIST_Circ,MEASURE NaturalWaist_Height,MEASURE Thigh_Height,MEASURE Ankle_Height,MEASURE Shoulder_Width_ThruTheBody,MEASURE Overarm_Width_ThruTheBody,MEASURE Hip_2_Width_ThruTheBody,MEASURE Hip_2_Circ,MEASURE Hip_2_Height,filename
cm,19.6,100.7,77.8,76.7,84.5,91.5,29.5,43.7,102.8,101.8,32.6,28.2,21.80,158.2,86.7,35.7,17.4,75.0,90.2,32.1,35.5,33.7,34.4,32.3,28.4,22.7,14.8,57.3,11.6,29.6,68.9,141.2,49.5,32.0,134.5,135.0,89.6,98.1,116.2,64.5,25.8,80.5,102.5,4.0,69.6,30.7,39.5,35.8,90.8,76.7,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0156.txt
cm,21.8,93.8,77.5,76.1,79.1,97.9,30.0,43.8,95.1,94.6,28.1,20.7,21.71,157.6,81.6,32.1,16.0,68.2,84.6,33.3,36.9,29.5,33.7,32.2,26.5,19.8,13.3,56.3,12.3,25.7,68.6,139.4,56.3,33.5,134.4,132.6,78.2,91.1,117.6,63.3,25.3,68.2,101.4,4.0,68.4,32.4,39.9,39.3,101.7,76.6,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0157.txt
cm,24.3,99.2,79.9,78.6,77.0,94.7,32.5,46.3,101.3,100.8,30.5,24.6,22.76,163.4,85.1,34.6,16.6,75.9,84.3,34.4,39.4,30.8,35.4,35.0,26.0,22.2,15.2,60.8,12.5,24.9,73.3,144.8,53.8,32.4,137.8,137.8,81.3,96.3,122.1,66.3,26.5,67.0,105.1,3.5,69.8,32.5,38.7,38.5,98.9,79.1,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0158.txt
cm,17.3,96.8,77.2,76.1,83.3,93.4,31.0,44.5,98.3,98.1,29.7,24.6,26.29,161.9,84.6,37.1,19.9,78.3,93.9,33.8,39.8,33.1,36.5,35.1,27.3,23.1,15.5,54.0,11.8,29.1,65.7,145.6,52.3,39.8,139.8,139.1,85.4,94.3,122.6,69.5,27.8,72.2,103.9,4.0,68.3,35.2,42.0,38.0,96.2,76.1,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0159.txt
cm,22.4,91.7,71.4,70.0,83.3,96.5,28.5,41.0,93.4,93.6,29.9,25.6,24.05,153.2,78.0,34.1,19.0,73.3,87.8,34.3,38.3,30.9,36.4,34.4,28.6,23.1,14.8,50.2,12.0,24.9,62.2,135.0,57.1,34.2,129.3,128.3,88.9,88.8,113.0,65.0,26.0,74.9,96.0,3.5,62.9,33.0,38.2,38.9,99.5,70.0,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0160.txt
cm,24.7,94.1,74.9,73.6,90.4,102.3,27.5,41.3,96.3,96.4,31.3,24.2,23.93,165.0,84.6,37.2,18.3,78.6,89.3,36.4,40.6,31.9,39.3,38.6,30.8,25.1,15.4,56.9,12.7,31.0,69.6,145.1,61.6,34.5,137.3,138.8,94.5,91.2,117.6,71.5,28.6,80.1,102.2,4.0,66.3,34.4,41.5,43.5,110.7,75.1,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0161.txt
cm,24.7,94.1,74.9,73.6,90.4,102.3,27.5,41.3,96.3,96.4,31.3,24.2,23.93,165.0,84.6,37.2,18.3,78.6,89.3,36.4,40.6,31.9,39.3,38.6,30.8,25.1,15.4,56.9,12.7,31.0,69.6,145.1,61.6,34.5,137.3,138.8,94.5,91.2,117.6,71.5,28.6,80.1,102.2,4.0,66.3,34.4,41.5,43.5,110.7,75.1,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0161_promt.txt
cm,16.8,91.0,71.6,70.3,87.8,101.0,27.5,40.3,92.5,92.1,32.1,23.8,25.27,153.8,78.3,35.5,14.2,80.9,90.6,35.0,38.0,34.0,38.0,34.6,30.7,24.7,17.0,53.4,12.6,26.8,66.0,136.3,58.5,37.3,131.0,130.8,92.1,87.8,113.8,66.0,26.4,81.3,96.7,4.0,63.3,34.3,40.7,40.1,103.0,72.8,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0162.txt
cm,27.6,93.1,76.8,74.9,98.6,107.9,30.0,43.5,95.8,95.0,30.1,24.3,25.05,159.4,82.9,38.8,19.2,85.1,100.1,35.3,40.8,34.0,38.2,36.9,30.6,24.8,14.3,54.8,12.2,28.3,67.0,140.9,63.2,36.5,134.2,133.2,100.8,89.9,115.9,66.0,26.4,90.3,101.3,4.0,67.0,34.2,40.9,41.4,108.5,75.9,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0163.txt
cm,24.5,96.8,77.6,76.0,79.0,92.4,31.5,44.9,98.9,98.3,30.7,24.2,20.84,157.6,84.0,34.6,16.6,71.3,86.2,34.0,36.2,30.6,32.5,31.6,27.0,21.3,14.4,56.2,11.3,27.2,67.4,140.0,51.4,35.8,134.8,133.8,81.6,94.4,115.5,64.0,25.6,69.4,101.6,3.5,68.5,32.3,39.7,36.4,93.2,76.0,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0164.txt
cm,19.7,104.8,82.9,81.9,88.8,100.1,34.0,48.4,107.2,106.6,34.0,28.0,26.10,167.9,89.4,36.7,17.5,83.5,95.1,34.2,38.3,34.0,39.1,36.3,29.0,23.6,15.4,60.3,12.2,28.1,72.5,149.4,60.0,36.2,143.9,144.6,93.4,102.0,127.9,67.5,27.0,81.2,108.9,4.0,74.4,33.3,40.9,38.9,102.4,82.9,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0165.txt
cm,19.8,100.1,78.8,77.4,101.5,105.1,29.5,43.9,102.6,102.3,34.9,28.0,25.18,162.0,86.4,40.5,21.2,91.7,108.7,36.7,45.1,38.6,37.1,36.2,32.1,24.7,16.6,51.2,14.8,31.9,66.0,145.1,59.0,42.9,138.1,137.4,105.8,97.0,120.4,67.8,27.1,95.4,104.5,3.5,69.5,39.6,45.4,39.6,104.1,77.4,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0166.txt
cm,15.5,108.3,85.4,84.5,95.5,105.9,34.0,49.1,110.5,109.6,35.6,30.1,24.54,170.7,90.5,39.9,18.4,87.9,101.0,36.3,43.6,35.6,38.1,36.5,30.5,23.5,16.1,59.2,13.6,27.0,72.8,153.3,59.0,40.2,146.5,145.3,101.3,105.3,129.5,68.8,27.5,88.0,112.0,4.0,76.9,37.5,44.8,41.1,105.0,84.5,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0167.txt
cm,24.9,100.3,80.7,79.6,87.9,106.1,32.0,46.3,102.3,101.6,31.9,25.2,26.21,164.8,88.1,35.8,20.9,77.0,96.4,36.0,38.2,32.0,40.6,39.8,32.1,26.5,16.3,58.4,12.0,27.3,70.4,147.4,63.9,37.4,141.6,141.4,91.5,97.5,124.1,67.8,27.1,76.3,106.7,4.0,72.5,34.5,41.9,41.6,108.9,80.1,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0168.txt
cm,22.6,103.5,81.1,79.6,94.2,110.3,31.0,45.6,106.0,105.2,35.2,29.1,23.37,171.5,88.1,36.5,21.0,82.2,92.8,34.3,41.5,34.2,40.3,36.5,29.9,24.1,15.5,56.6,14.0,28.2,70.6,153.3,61.9,39.7,146.3,146.8,100.2,100.8,128.1,73.8,29.5,84.4,109.1,4.0,70.7,36.4,42.6,41.2,109.5,81.6,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0169.txt
cm,24.0,94.6,77.7,76.3,75.0,87.8,31.0,44.6,95.9,95.8,25.0,22.0,21.53,158.8,83.3,33.6,15.9,68.6,83.5,30.4,35.6,29.5,31.7,30.5,25.1,21.5,13.4,54.1,11.0,25.2,65.1,137.3,49.7,37.1,130.0,130.8,76.3,91.7,115.8,61.0,24.4,67.5,100.7,4.0,68.7,30.6,37.6,36.0,92.1,76.3,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0170.txt
cm,24.9,101.8,74.9,73.4,100.2,117.2,27.0,40.9,105.2,104.7,43.5,33.8,25.49,162.4,84.4,38.9,20.2,96.2,112.8,39.1,45.6,37.2,45.4,45.1,38.7,28.6,16.5,55.1,14.3,32.7,69.4,144.1,70.9,45.9,137.6,138.1,116.1,98.5,119.9,70.8,28.3,99.5,101.7,4.0,67.1,39.2,47.7,45.4,120.2,79.4,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0171.txt
cm,25.5,95.2,73.1,72.2,71.8,90.0,30.0,42.7,97.4,96.7,33.7,27.4,21.62,138.9,79.2,33.6,15.9,70.8,87.0,33.4,37.0,30.7,35.1,31.8,24.9,21.6,12.4,51.3,11.1,23.7,62.3,133.7,50.1,33.7,127.7,127.7,80.8,92.4,113.7,61.5,24.6,67.3,96.8,4.0,64.6,31.8,37.5,35.4,92.9,72.7,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0172.txt
cm,19.6,94.2,76.7,75.4,84.0,89.3,31.5,44.7,96.0,96.2,28.2,23.2,22.17,159.5,84.4,35.3,21.6,80.1,99.1,34.7,39.1,32.2,33.4,31.8,26.2,21.9,13.9,52.3,12.2,27.3,64.5,139.7,51.1,39.9,133.7,134.2,86.7,91.3,118.4,64.3,25.7,76.7,101.1,3.5,67.9,34.3,39.9,34.9,91.1,76.4,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0173.txt
cm,15.4,101.4,80.1,79.0,86.8,96.9,32.0,46.1,102.9,102.9,32.8,26.1,23.30,164.8,87.5,34.6,19.4,80.0,93.3,32.4,39.4,31.0,35.5,32.3,27.2,23.4,14.3,57.0,14.1,26.5,71.1,145.3,55.1,40.9,137.5,139.3,86.3,98.6,124.5,66.3,26.5,81.4,105.5,4.0,71.8,35.0,39.6,40.2,100.8,80.5,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0174.txt
cm,15.4,101.4,80.1,79.0,86.8,96.9,32.0,46.1,102.9,102.9,32.8,26.1,23.30,164.8,87.5,34.6,19.4,80.0,93.3,32.4,39.4,31.0,35.5,32.3,27.2,23.4,14.3,57.0,14.1,26.5,71.1,145.3,55.1,40.9,137.5,139.3,86.3,98.6,124.5,66.3,26.5,81.4,105.5,4.0,71.8,35.0,39.6,40.2,100.8,80.5,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0174_promt.txt
cm,20.2,101.4,79.1,76.8,87.3,101.9,31.0,44.7,103.3,102.5,34.2,30.3,24.95,165.3,83.3,36.2,18.5,82.1,91.3,32.2,39.0,32.9,37.6,37.4,29.7,24.1,15.0,54.5,13.0,25.9,67.5,145.8,60.1,36.5,140.3,140.5,94.4,98.4,124.3,69.0,27.6,81.3,104.4,4.0,68.8,34.8,40.2,40.9,106.3,76.8,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0175.txt
